City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Rabo De Peixe,PT,2021-12-03 14:21:42,37.8,-25.5833,67.28,99,75,2.3
279,Bitung,ID,2021-12-03 14:21:42,1.4451,125.1824,77.85,83,100,4.76
280,Strezhevoy,RU,2021-12-03 14:21:43,60.7333,77.5889,26.58,93,98,11.52
281,Road Town,VG,2021-12-03 14:20:44,18.4167,-64.6167,84.29,74,20,9.22
282,Torbat-E Jam,IR,2021-12-03 14:21:44,35.244,60.6225,44.76,73,60,11.81
283,Edmundston,CA,2021-12-03 14:19:53,47.3737,-68.3251,27.68,76,90,16.11
284,Wagar,SD,2021-12-03 14:21:45,16.1525,36.2032,94.01,20,0,7.96
285,Jawor,PL,2021-12-03 14:21:45,51.0513,16.1935,38.01,47,47,11.03
286,Srednekolymsk,RU,2021-12-03 14:21:46,67.45,153.6833,-15.25,96,100,18.75
287,Moranbah,AU,2021-12-03 14:21:47,-22.0016,148.0466,78.13,70,1,9.4
288,Vanavara,RU,2021-12-03 14:21:47,60.34,102.2797,30.02,73,100,15.35
289,Balkanabat,TM,2021-12-03 14:21:48,39.5108,54.3671,46.65,75,80,8.12
290,Yokadouma,CM,2021-12-03 14:21:48,3.5167,15.05,83.59,58,100,0.92
291,Sakakah,SA,2021-12-03 14:21:49,29.9697,40.2064,65.77,31,16,5.91
292,Dimbokro,CI,2021-12-03 14:21:50,6.6451,-4.7048,97.29,33,99,2.8
293,Port Elizabeth,ZA,2021-12-03 14:21:50,-33.918,25.5701,70.11,68,20,11.5
